mutation,org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testAddValuePrimitive()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testAddValueObject()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testAddAndGetValuePrimitive()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testAddAndGetValueObject()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testCompareTo()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testDecrement()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testDecrementAndGet()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testPrimitiveValues()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testEquals()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testGetAndAddValuePrimitive()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testGetAndAddValueObject()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testGetAndDecrement()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testGetAndIncrement()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testGetSet()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testIncrement()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testIncrementAndGet()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testSubtractValuePrimitive()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testSubtractValueObject()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testToLong()],org.apache.commons.lang3.mutable.MutableLongTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableLongTest]/[method:testToString()]
85|Replaced long addition with subtraction,KILLED,,,,,,,,,,,,,,,,,,,
96|Replaced long addition with subtraction,,KILLED,,,,,,,,,,,,,,,,,,
108|Replaced long addition with subtraction,,,KILLED,,,,,,,,,,,,,,,,,
109|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::addAndGet,,,KILLED,,,,,,,,,,,,,,,,,
122|Replaced long addition with subtraction,,,,KILLED,,,,,,,,,,,,,,,,
123|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::addAndGet,,,,KILLED,,,,,,,,,,,,,,,,
134|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableLong::compareTo,,,,,KILLED,,,,,,,,,,,,,,,
143|Replaced long subtraction with addition,,,,,,KILLED,,,,,,,,,,,,,,
154|Replaced long subtraction with addition,,,,,,,KILLED,,,,,,,,,,,,,
155|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::decrementAndGet,,,,,,,,,,,,,,,,,,,,
165|replaced double return with 0.0d for org/apache/commons/lang3/mutable/MutableLong::doubleValue,,,,,,,,KILLED,,,,,,,,,,,,
178|negated conditional,,,,,,,,,KILLED,,,,,,,,,,,
179|replaced boolean return with true for org/apache/commons/lang3/mutable/MutableLong::equals,,,,,,,,,KILLED,,,,,,,,,,,
181|replaced boolean return with true for org/apache/commons/lang3/mutable/MutableLong::equals,,,,,,,,,KILLED,,,,,,,,,,,
191|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableLong::floatValue,,,,,,,,KILLED,,,,,,,,,,,,
204|Replaced long addition with subtraction,,,,,,,,,,KILLED,,,,,,,,,,
205|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::getAndAdd,,,,,,,,,,,,,,,,,,,,
219|Replaced long addition with subtraction,,,,,,,,,,,KILLED,,,,,,,,,
220|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::getAndAdd,,,,,,,,,,,,,,,,,,,,
232|Replaced long subtraction with addition,,,,,,,,,,,,KILLED,,,,,,,,
233|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::getAndDecrement,,,,,,,,,,,,KILLED,,,,,,,,
245|Replaced long addition with subtraction,,,,,,,,,,,,,KILLED,,,,,,,
246|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::getAndIncrement,,,,,,,,,,,,,KILLED,,,,,,,
256|replaced Long return value with 0L for org/apache/commons/lang3/mutable/MutableLong::getValue,,,,,,,,,,,,,,KILLED,,,,,,
266|Replaced Unsigned Shift Right with Shift Left,,,,,,,,,,,,,,,,,,,,
275|Replaced long addition with subtraction,,,,,,,,,,,,,,,KILLED,,,,,
286|Replaced long addition with subtraction,,,,,,,,,,,,,,,,KILLED,,,,
287|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::incrementAndGet,,,,,,,,,,,,,,,,KILLED,,,,
298|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableLong::intValue,KILLED,,,,,,,,,,,,,,,,,,,
308|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableLong::longValue,KILLED,,,,,,,,,,,,,,,,,,,
