mutation,org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testAddValueObject()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testAddValuePrimitive()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testAddAndGetValueObject()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testAddAndGetValuePrimitive()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testCompareTo()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testDecrement()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testDecrementAndGet()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testPrimitiveValues()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testEquals()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testGetAndAddValueObject()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testGetAndAddValuePrimitive()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testGetAndDecrement()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testGetAndIncrement()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testGetSet()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testHashCode()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testIncrement()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testIncrementAndGet()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testSubtractValueObject()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testSubtractValuePrimitive()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testToShort()],org.apache.commons.lang3.mutable.MutableShortTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableShortTest]/[method:testToString()]
86|Replaced integer addition with subtraction,KILLED,,,,,,,,,,,,,,,,,,,,
96|Replaced integer addition with subtraction,,KILLED,,,,,,,,,,,,,,,,,,,
109|Replaced integer addition with subtraction,,,KILLED,,,,,,,,,,,,,,,,,,
110|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::addAndGet,,,KILLED,,,,,,,,,,,,,,,,,,
122|Replaced integer addition with subtraction,,,,KILLED,,,,,,,,,,,,,,,,,
123|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::addAndGet,,,,KILLED,,,,,,,,,,,,,,,,,
134|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableShort::compareTo,,,,,KILLED,,,,,,,,,,,,,,,,
143|Replaced integer subtraction with addition,,,,,,KILLED,,,,,,,,,,,,,,,
154|Replaced integer subtraction with addition,,,,,,,KILLED,,,,,,,,,,,,,,
155|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::decrementAndGet,,,,,,,,,,,,,,,,,,,,,
165|replaced double return with 0.0d for org/apache/commons/lang3/mutable/MutableShort::doubleValue,,,,,,,,KILLED,,,,,,,,,,,,,
178|negated conditional,,,,,,,,,KILLED,,,,,,,,,,,,
179|negated conditional,,,,,,,,,KILLED,,,,,,,,,,,,
181|replaced boolean return with true for org/apache/commons/lang3/mutable/MutableShort::equals,,,,,,,,,KILLED,,,,,,,,,,,,
191|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableShort::floatValue,,,,,,,,KILLED,,,,,,,,,,,,,
205|Replaced integer addition with subtraction,,,,,,,,,,KILLED,,,,,,,,,,,
206|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::getAndAdd,,,,,,,,,,,,,,,,,,,,,
219|Replaced integer addition with subtraction,,,,,,,,,,,KILLED,,,,,,,,,,
220|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::getAndAdd,,,,,,,,,,,,,,,,,,,,,
232|Replaced integer subtraction with addition,,,,,,,,,,,,KILLED,,,,,,,,,
233|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::getAndDecrement,,,,,,,,,,,,KILLED,,,,,,,,,
245|Replaced integer addition with subtraction,,,,,,,,,,,,,KILLED,,,,,,,,
246|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::getAndIncrement,,,,,,,,,,,,,KILLED,,,,,,,,
256|replaced Short return value with 0 for org/apache/commons/lang3/mutable/MutableShort::getValue,,,,,,,,,,,,,,KILLED,,,,,,,
266|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableShort::hashCode,,,,,,,,,,,,,,,KILLED,,,,,,
275|Replaced integer addition with subtraction,,,,,,,,,,,,,,,,KILLED,,,,,
286|Replaced integer addition with subtraction,,,,,,,,,,,,,,,,,KILLED,,,,
287|replaced short return with 0 for org/apache/commons/lang3/mutable/MutableShort::incrementAndGet,,,,,,,,,,,,,,,,,KILLED,,,,
297|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableShort::intValue,,,,,,,,,,,,,,,,KILLED,,,,,
307|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableShort::longValue,,,,,,,,,,,,,,,,KILLED,,,,,
