mutation,org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testSpaceMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testQuoteMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testMatcherIndices()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testStringMatcher_String()],none,org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testTrimMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testCharMatcher_char()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testCharSetMatcher_charArray()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testCharSetMatcher_String()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testCommaMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testDoubleQuoteMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testNoneMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testSingleQuoteMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testSplitMatcher()],org.apache.commons.lang3.text.StrMatcherTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.text.StrMatcherTest]/[method:testTabMatcher()]
68|negated conditional,KILLED,,,,,,,,,,,,,,
98|changed conditional boundary,,KILLED,,,,,,,,,,,,,
154|Replaced integer addition with subtraction,,,KILLED,,,,,,,,,,,,
157|negated conditional,,,,KILLED,,,,,,,,,,,
158|negated conditional,,,KILLED,,,,,,,,,,,,
162|replaced int return with 0 for org/apache/commons/lang3/text/StrMatcher$StringMatcher::isMatch,,,KILLED,,,,,,,,,,,,
"167|replaced return value with """" for org/apache/commons/lang3/text/StrMatcher$StringMatcher::toString",,,,,NO_COVERAGE,,,,,,,,,,
193|negated conditional,,,,,,KILLED,,,,,,,,,
246|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charMatcher,,,,,,,KILLED,,,,,,,,
256|negated conditional,,,,,,,,KILLED,,,,,,,
257|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charSetMatcher,,,,,,,,KILLED,,,,,,,
259|negated conditional,,,,,,,,KILLED,,,,,,,
260|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charSetMatcher,,,,,,,,KILLED,,,,,,,
262|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charSetMatcher,,,,,,,,KILLED,,,,,,,
272|negated conditional,,,,,,,,,KILLED,,,,,,
273|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charSetMatcher,,,,,,,,,KILLED,,,,,,
275|negated conditional,,,,,,,,,KILLED,,,,,,
276|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charSetMatcher,,,,,,,,,KILLED,,,,,,
278|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::charSetMatcher,,,,,,,,,KILLED,,,,,,
287|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::commaMatcher,,,,,,,,,,KILLED,,,,,
296|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::doubleQuoteMatcher,,,,,,,,,,,KILLED,,,,
305|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::noneMatcher,,,,,,,,,,,,KILLED,,,
314|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::quoteMatcher,,KILLED,,,,,,,,,,,,,
323|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::singleQuoteMatcher,,,,,,,,,,,,,KILLED,,
332|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::spaceMatcher,KILLED,,,,,,,,,,,,,,
342|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::splitMatcher,,,,,,,,,,,,,,KILLED,
352|negated conditional,,,KILLED,,,,,,,,,,,,
353|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::stringMatcher,,,,KILLED,,,,,,,,,,,
355|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::stringMatcher,,,KILLED,,,,,,,,,,,,
364|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::tabMatcher,,,,,,,,,,,,,,,KILLED
373|replaced return value with null for org/apache/commons/lang3/text/StrMatcher::trimMatcher,,,,,,KILLED,,,,,,,,,
406|replaced int return with 0 for org/apache/commons/lang3/text/StrMatcher::isMatch,KILLED,,,,,,,,,,,,,,
