mutation,org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_0]/[nested-class:C_is_1]/[method:between_returns_true()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_1]/[nested-class:C_is_10]/[method:static_betweenExclusive_returns_false()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_0]/[nested-class:C_is_0]/[method:between_returns_false()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_10]/[method:equalTo_returns_false()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_1]/[method:static_gt_returns_false()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_0]/[method:greaterThanOrEqualTo_returns_true()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_0]/[method:lessThan_returns_false()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_1]/[method:static_le_returns_true()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_1]/[nested-class:C_is_0]/[method:static_between_returns_true()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_0]/[nested-class:C_is_10]/[method:static_betweenExclusive_returns_true()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_1]/[method:static_ge_returns_true()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_0]/[method:static_le_returns_false()],org.apache.commons.lang3.compare.ComparableUtilsTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.compare.ComparableUtilsTest]/[nested-class:A_is_1]/[nested-class:B_is_10]/[method:static_lt_returns_true()]
55|negated conditional,KILLED,,,,,,,,,,,,
66|negated conditional,,KILLED,,,,,,,,,,,
70|negated conditional,,,KILLED,,,,,,,,,,
74|replaced boolean return with true for org/apache/commons/lang3/compare/ComparableUtils$ComparableCheckBuilder::betweenOrderedExclusive,,KILLED,,,,,,,,,,,
84|replaced boolean return with true for org/apache/commons/lang3/compare/ComparableUtils$ComparableCheckBuilder::equalTo,,,,KILLED,,,,,,,,,
94|negated conditional,,,,,KILLED,,,,,,,,
104|negated conditional,,,,,,KILLED,,,,,,,
114|negated conditional,,,,,,,KILLED,,,,,,
124|negated conditional,,,,,,,,KILLED,,,,,
137|replaced boolean return with false for org/apache/commons/lang3/compare/ComparableUtils::lambda$between$0,,,,,,,,,KILLED,,,,
149|replaced boolean return with false for org/apache/commons/lang3/compare/ComparableUtils::lambda$betweenExclusive$1,,,,,,,,,,KILLED,,,
161|replaced return value with null for org/apache/commons/lang3/compare/ComparableUtils::ge,,,,,,,,,,,KILLED,,
172|replaced return value with null for org/apache/commons/lang3/compare/ComparableUtils::gt,,,,,KILLED,,,,,,,,
183|replaced return value with null for org/apache/commons/lang3/compare/ComparableUtils::is,,,,,,,,KILLED,,,,,
195|replaced boolean return with true for org/apache/commons/lang3/compare/ComparableUtils::lambda$le$4,,,,,,,,,,,,KILLED,
206|replaced return value with null for org/apache/commons/lang3/compare/ComparableUtils::lt,,,,,,,,,,,,,KILLED
223|changed conditional boundary,,,,,,,,,,,,,
240|changed conditional boundary,,,,,,,,,,,,,
