mutation,org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testBuilderResetAfterBuild()],org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testBuildDefaults()],org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testNewThreadPriority()],org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testNewThreadExHandler()],org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testNewThreadNoNamingPattern()],org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testNewThreadNamingPattern()],org.apache.commons.lang3.concurrent.BasicThreadFactoryTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BasicThreadFactoryTest]/[method:testNewThreadDaemonFalse()]
131|removed call to org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::reset,KILLED,,,,,,
132|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::build,,KILLED,,,,,
145|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::daemon,KILLED,,,,,,
158|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::namingPattern,KILLED,,,,,,
170|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::priority,,,KILLED,,,,
199|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::uncaughtExceptionHandler,,,,KILLED,,,
214|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory$Builder::wrappedFactory,,,,,KILLED,,
243|negated conditional,,KILLED,,,,,
260|replaced Boolean return with True for org/apache/commons/lang3/concurrent/BasicThreadFactory::getDaemonFlag,,KILLED,,,,,
"270|replaced return value with """" for org/apache/commons/lang3/concurrent/BasicThreadFactory::getNamingPattern",,KILLED,,,,,
280|replaced Integer return value with 0 for org/apache/commons/lang3/concurrent/BasicThreadFactory::getPriority,,KILLED,,,,,
291|replaced long return with 0 for org/apache/commons/lang3/concurrent/BasicThreadFactory::getThreadCount,,,,,,KILLED,
301|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory::getUncaughtExceptionHandler,,,,KILLED,,,
313|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory::getWrappedFactory,,KILLED,,,,,
325|negated conditional,,,,,KILLED,,
327|removed call to java/lang/Thread::setName,,,,,,KILLED,
329|negated conditional,,,,KILLED,,,
330|removed call to java/lang/Thread::setUncaughtExceptionHandler,,,,KILLED,,,
332|negated conditional,,,,,KILLED,,
333|removed call to java/lang/Thread::setPriority,,,KILLED,,,,
335|negated conditional,,,,,KILLED,,
336|removed call to java/lang/Thread::setDaemon,,,,,,,KILLED
351|removed call to org/apache/commons/lang3/concurrent/BasicThreadFactory::initializeThread,,,KILLED,,,,
352|replaced return value with null for org/apache/commons/lang3/concurrent/BasicThreadFactory::newThread,,,,,KILLED,,
