mutation,none,org.apache.commons.lang3.concurrent.MultiBackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.MultiBackgroundInitializerTest]/[method:testInitializeNoChildren()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testGetActiveExecutorExternal()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testIsStartedTrue()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testSetExternalExecutor()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testGetRuntimeException()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testGetActiveExecutorTemp()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testGetBeforeStart()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testSetExternalExecutorAfterStart()],org.apache.commons.lang3.concurrent.BackgroundInitializerSupplierTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerSupplierTest]/[method:testGetCheckedException()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testIsInitialized()],org.apache.commons.lang3.concurrent.BackgroundInitializerTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.concurrent.BackgroundInitializerTest]/[method:testStartMultipleTimes()]
107|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer$Builder::get,NO_COVERAGE,,,,,,,,,,,
120|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer$Builder::setExternalExecutor,NO_COVERAGE,,,,,,,,,,,
148|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer$InitializationTask::call,,KILLED,,,,,,,,,,
150|negated conditional,,KILLED,,,,,,,,,,
151|removed call to java/util/concurrent/ExecutorService::shutdown,,KILLED,,,,,,,,,,
165|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::builder,NO_COVERAGE,,,,,,,,,,,
196|removed call to org/apache/commons/lang3/concurrent/BackgroundInitializer::setExternalExecutor,,,KILLED,,,,,,,,,
208|removed call to org/apache/commons/lang3/concurrent/BackgroundInitializer::setExternalExecutor,NO_COVERAGE,,,,,,,,,,,
218|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::createExecutor,,,,KILLED,,,,,,,,
233|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::createTask,,,,KILLED,,,,,,,,
253|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::get,,,,,KILLED,,,,,,,
255|removed call to org/apache/commons/lang3/concurrent/ConcurrentUtils::handleCause,,,,,,KILLED,,,,,,
259|removed call to java/lang/Thread::interrupt,TIMED_OUT,,,,,,,,,,,
274|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::getActiveExecutor,,,,,,,KILLED,,,,,
283|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::getExternalExecutor,,,,,KILLED,,,,,,,
295|negated conditional,,,,,,,,KILLED,,,,
299|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::getFuture,,,,,,,,,KILLED,,,
314|replaced int return with 0 for org/apache/commons/lang3/concurrent/BackgroundInitializer::getTaskCount,,,,KILLED,,,,,,,,
323|replaced return value with null for org/apache/commons/lang3/concurrent/BackgroundInitializer::getTypedException,,,,,,,,,,KILLED,,
336|negated conditional,,,,,,,,,,,KILLED,
337|replaced boolean return with true for org/apache/commons/lang3/concurrent/BackgroundInitializer::isInitialized,,,,,,,,,,,KILLED,
342|replaced boolean return with false for org/apache/commons/lang3/concurrent/BackgroundInitializer::isInitialized,,,,,,,,,,,KILLED,
344|replaced boolean return with true for org/apache/commons/lang3/concurrent/BackgroundInitializer::isInitialized,NO_COVERAGE,,,,,,,,,,,
356|negated conditional,,,,,,,,KILLED,,,,
375|negated conditional,,,,,,,,KILLED,,,,
395|negated conditional,,,,KILLED,,,,,,,,
401|negated conditional,,,,KILLED,,,,,,,,
409|replaced boolean return with false for org/apache/commons/lang3/concurrent/BackgroundInitializer::start,,,,,KILLED,,,,,,,
412|replaced boolean return with true for org/apache/commons/lang3/concurrent/BackgroundInitializer::start,,,,,,,,,,,,KILLED
