mutation,org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testEmptyArrayGenerics()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testToStringCustom()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testPairOfMapEntry()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testOfNonNull()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testAccept()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testApply()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testComparable2()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testCompatibilityBetweenPairs()],org.apache.commons.lang3.tuple.ImmutablePairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.ImmutablePairTest]/[method:testNullPairEquals()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testMapEntry()],org.apache.commons.lang3.tuple.MutablePairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.MutablePairTest]/[method:testEquals()],org.apache.commons.lang3.tuple.PairTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.tuple.PairTest]/[method:testFormattable_simple()]
69|replaced return value with null for org/apache/commons/lang3/tuple/Pair::emptyArray,KILLED,,,,,,,,,,,
85|replaced return value with null for org/apache/commons/lang3/tuple/Pair::of,,KILLED,,,,,,,,,,
101|replaced return value with null for org/apache/commons/lang3/tuple/Pair::of,,,KILLED,,,,,,,,,
119|replaced return value with null for org/apache/commons/lang3/tuple/Pair::ofNonNull,,,,KILLED,,,,,,,,
131|removed call to org/apache/commons/lang3/function/FailableBiConsumer::accept,,,,,KILLED,,,,,,,
145|replaced return value with null for org/apache/commons/lang3/tuple/Pair::apply,,,,,,KILLED,,,,,,
157|replaced int return with 0 for org/apache/commons/lang3/tuple/Pair::compareTo,,,,,,,KILLED,,,,,
169|negated conditional,,,,,,,,KILLED,,,,
170|replaced boolean return with false for org/apache/commons/lang3/tuple/Pair::equals,,,,,,,,,KILLED,,,
172|negated conditional,,,,,,,,,,KILLED,,
174|replaced boolean return with true for org/apache/commons/lang3/tuple/Pair::equals,,,,,,,,KILLED,,,,
175|negated conditional,,,,,,,,,,KILLED,,
177|replaced boolean return with true for org/apache/commons/lang3/tuple/Pair::equals,,,,,,,,,,,KILLED,
190|replaced return value with null for org/apache/commons/lang3/tuple/Pair::getKey,,,,,,,,,,KILLED,,
221|replaced return value with null for org/apache/commons/lang3/tuple/Pair::getValue,,,,,,,,,,KILLED,,
233|replaced int return with 0 for org/apache/commons/lang3/tuple/Pair::hashCode,,,,,,,,,,KILLED,,
"243|replaced return value with """" for org/apache/commons/lang3/tuple/Pair::toString",,,,,,,,,,,,KILLED
"258|replaced return value with """" for org/apache/commons/lang3/tuple/Pair::toString",,KILLED,,,,,,,,,,
